X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
Alabama,,No,White/Caucasian,No,Bisexual/pansexual,Woman,Yes,Yes,"None (Atheist, Agnostic, etc.)","$50,000 - $74,999",No,No,No,Public,10+,My school did not offer,10+,2,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Career-oriented internship, Music, Student Government, Paid work",No,,EDI,4,Auburn and UAB,Vanderbilt was my first choice,No,"Yes, and I submitted it",,34,"Yes, standardized testing (ACT/SAT) tutoring","Location, Academics, Post-grad opportunities","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,Political Science,"Yes, as a pre-law student",Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,5,2,6,7,6,3,4,5,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,6-9 hours,"Instagram, TikTok, Youtube",Once a month,Once a month,Once a semester,Never,None,Yes,N/A (I have never owned a fake ID)
Tennessee,,Yes,Hispanic,Yes,Heterosexual,Man,No,Yes,Christian,"Under $50,000",No,No,No,Public,8,My school did not offer,10+,5,"Advocacy, Athletics, Community Service, Family Responsibilities, Career-oriented internship, Paid work","Yes, in both high school and college",Research,EDII,10,"Purdue, University of Tennessee,Tennessee Tech, Austin Peay,",Vanderbilt was my first choice,"Yes, but I did not submit it","Yes, but I did not submit it",,32,No,"Cost, Location, Student Life","Campus tour, Anchor Day (admitted students day)",School of Engineering,No,Mechanical Engineering,No,Gillette,Stambaugh,"Yes, full cost of attendence",No,$0 ,Not sure,5,3,5,6,4,4,4,1,5,3,"I am eligible to vote, but am not registered",I do not intend to vote,2-4 hours,"News websites/apps, Instagram, TikTok",Never,Never,Never,Never,None,Yes,N/A (I have never owned a fake ID)
Maryland,,No,White/Caucasian,No,Heterosexual,Woman,No,Yes,Jewish,"$500,000 - $749,999","Yes, sibling(s)",No,No,Private,4,My school did not offer,1,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Career-oriented internship, Journalism, Research","Yes, in high school but not in college","Writing, Math",Regular Decision,14,"Wake forest, William and Mary, CaseWestern, Honors college of Charleston, Upitt, Oberlin ",Vanderbilt was my first choice,No,"Yes, and I submitted it",,36,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Location, Academics, Student Life","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,Molecular and Cellular Biology,"Yes, as a pre-med student",Hank Ingram,Crawford,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",6,1,4,6,7,4,4,4,5,1,"I am eligible to vote, but am not registered",I intend to vote for Donald Trump,2-4 hours,"Television, Instagram, TikTok",Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
None of the Above,Canada,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$100,000 - $149,999","Yes, sibling(s)",No,No,Private,8,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Research","Yes, in both high school and college","Writing, Research, Coding",Regular Decision,14,,Vanderbilt was not my first choice but was one of my top choices,No,"Yes, and I submitted it",,35,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Cost, Academics, Campus",Campus tour,School of Engineering,No,Computer Science,No,Murray,Murray,"Yes, more than half the cost of attendance","Yes, covers full tuition","$20,000 - $29,999",No,2,6,2,5,7,7,7,6,6,3,I am not eligible to vote,,1-2 hours,"Instagram, Other social media",Once a semester,Once a month,Never,Never,None,No,N/A (I have never owned a fake ID)
Maryland,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,Muslim,"$200,000 - $299,999",No,No,No,Public,10+,My school did not offer,4,0,"Academic Clubs/Competition, Advocacy, Community Service, Cultural and Affinity Clubs, Music",No,,EDI,6,,Vanderbilt was my first choice,"Yes, and I submitted it",No,1560,,"Yes, standardized testing (ACT/SAT) tutoring","Academics, School size, Student Life",Anchor Day (admitted students day),College of Arts of Science,No,Mathematics,No,North,North,"Yes, less than half the cost of attendance",No,"$100,000 - $149,999",No,4,4,2,3,3,5,4,1,7,3,"I am eligible to vote, but am not registered",I do not intend to vote,4-6 hours,"News websites/apps, Instagram, TikTok, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
California,,No,Asian/Pacific Islander,No,Bisexual/pansexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$200,000 - $299,999",No,No,No,Private,My school did not offer,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Cultural and Affinity Clubs, Music, Theater","Yes, in high school but not in college",Research,Regular Decision,20,"Arizona State University, University of Arizona, UC Santa Cruz, UC Davis, UC Santa Barbara, Berklee College of Music, Purdue University Fort Wayne",Vanderbilt was not my first choice nor was it among my top choices,"Yes, and I submitted it",No,1590,,No,"Location, Faculty, Brand name/rankings","Campus tour, 'Dore For A Day, Commodore Launch",School of Engineering,No,Electrical and Computer Engineering,No,West,Gillette,No,"Yes, covers partial tuition",$0 ,No,2,5,1,3,6,6,7,6,7,5,"Yes, in my home state/country",I intend to vote for Kamala Harris,6-9 hours,"News websites/apps, Instagram, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Texas,,No,White/Caucasian,No,Heterosexual,Man,No,No,Christian,"$1,000,000 or more",No,No,No,Private,10+,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Journalism",No,,Regular Decision,15,"UVA, UT (not Tennessee), Texas A&M, University of Georgia",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,1570,,No,"Academics, Brand name/rankings, Student Life","Campus tour, Commodore Launch, Anchor Day (admitted students day)",College of Arts of Science,"Yes, Engineering",Electrical and Computer Engineering,No,North,West,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",4,1,1,7,1,1,1,3,7,1,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Podcasts, Instagram",Never,Three times a week,Never,Never,None,No,N/A (I have never owned a fake ID)
Minnesota,,Yes,"White/Caucasian, Asian/Pacific Islander",No,Gay/lesbian,Woman,No,No,Christian,"$200,000 - $299,999",No,No,No,Public,3,My school did not offer,2,10+,"Community Service, Music, Theater, Paid work","Yes, in college but not in high school",Research,Regular Decision,16,"University of Minnesota, University of Vermont, Elon University, University of Maryland, Mount Holyoke College, University of Florida, DePaul University",Vanderbilt was not my first choice but was one of my top choices,No,"Yes, and I submitted it",,34,No,"Cost, Academics, School size",Campus tour,Peabody College of Education and Human Development,No,Secondary Education,No,Gillette,Gillette,No,"Yes, covers full tuition",$0 ,Not sure,2,6,1,5,7,6,6,5,7,4,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Instagram, TikTok",Once a month,Once a week,Never,Once a semester,,Prefer not to answer,N/A (I have never owned a fake ID)
Washington,,Yes,Asian/Pacific Islander,Yes,Heterosexual,Woman,No,No,Christian,"$150,000 - $199,999",No,No,No,Public,10+,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Advocacy, Community Service, Cultural and Affinity Clubs, Journalism, Music, Religious group, Student Government","Yes, in both high school and college","Research, Math",Regular Decision,31,"Johns Hopkins, USC, UC Berkeley, Ohio State, Washington State, University of Washington, University of Pittsburgh, UC Irvine, UC Santa Barbara, Boston Univeristy, NYU",Vanderbilt was not my first choice nor was it among my top choices,No,"Yes, but I did not submit it",,30,"Yes, college counseling","Cost, Academics, Brand name/rankings","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,Economics and History,No,Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance","Yes, covers full tuition",$0 ,Not sure,2,5,1,6,7,4,4,3,7,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,6-9 hours,"News websites/apps, Instagram",Once a semester,Once a month,Never,Never,None,Yes,N/A (I have never owned a fake ID)
Mississippi,,No,African American/Black,No,Bisexual/pansexual,Woman,No,No,Christian,"$50,000 - $74,999",No,No,No,Private,4,My school did not offer,4,3,"Community Service, Research, Paid work",No,,EDI,5,"Washington University in St. Louis, University of Mississippi, Emory University",Vanderbilt was my first choice,No,"Yes, and I submitted it",,35,No,"Location, Academics, Brand name/rankings","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,Psychology,"Yes, as a pre-med student",West,Hank Ingram,"Yes, full cost of attendence",No,$0 ,"Yes, I plan to participate in NPHC recruitment",2,7,1,1,7,4,7,7,7,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"Television, Instagram, TikTok, X (formerly Twitter)",Never,Never,Never,Never,None,Prefer not to answer,N/A (I have never owned a fake ID)
None of the Above,"Kathmandu, Nepal",No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,Hindu,"Under $50,000",No,No,No,Private,My school did not offer,6,My school did not offer,My school did not offer,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs, Dance, Journalism, Model UN, Speech and Debate, Student Government","Yes, in both high school and college","Explanations of concepts/questions I don't understand, it breaks it down for me.",EDII,9,"Macalester College, University of Florida ",Vanderbilt was not my first choice but was one of my top choices,No,No,1460,,No,"Cost, Post-grad opportunities, Brand name/rankings",None,School of Engineering,No,Computer Science,No,Sutherland,Hank Ingram,"Yes, more than half the cost of attendance",No,$0 ,Not sure,2,6,1,2,7,6,7,7,7,4,"I am eligible to vote, but am not registered",I am not eligible to vote,4-6 hours,"Instagram, TikTok",Once a week,Once a week,Never,Never,"None, Prefer not to answer",No,N/A (I have never owned a fake ID)
Nebraska,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Jewish,"$500,000 - $749,999",No,No,No,Public,7,My school did not offer,10+,5,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Religious group, Student Government, Paid work, Working with students with disabilities and a camp counselor","Yes, in both high school and college",as a resource to help brainstorm writing,Regular Decision,8,"University of Nebraska Lincoln, Kansas University, University of Indiana, University of Wisconsin Madison",Vanderbilt was my first choice,No,"Yes, but I did not submit it",,32,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Location, Academics, School size","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,"Medicine, Health, and Society (MHS)","Yes, as a pre-med student",Hank Ingram,Hank Ingram,"Yes, less than half the cost of attendance","Yes, covers partial tuition",I don't know,"Yes, I plan to participate in Panhellenic recruitment",4,1,4,5,7,3,7,4,6,1,"Yes, in my home state/country",Prefer not to answer,4-6 hours,"News websites/apps, Television, Instagram, TikTok, Other social media, Schoolwork",Never,Never,Never,Never,None,Yes,N/A (I have never owned a fake ID)
Georgia,,Yes,"White/Caucasian, Asian/Pacific Islander",No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$150,000 - $199,999",No,No,No,Public,10+,My school did not offer,3,1,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs, Music, Visual Art",No,,Regular Decision,8,"UGA, Georgia Tech",Vanderbilt was my first choice,"Yes, and I submitted it",No,1500,,"Yes, standardized testing (ACT/SAT) tutoring","Location, Academics, Campus","Campus tour, 'Dore For A Day",College of Arts of Science,No,Biological Sciences,"Yes, as a pre-med student",Murray,Hank Ingram,"Yes, more than half the cost of attendance",No,"$75,000 - $99,999",No,3,2,1,6,7,4,4,1,7,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Instagram",Never,Never,Never,Never,None,Prefer not to answer,N/A (I have never owned a fake ID)
None of the Above,China,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$100,000 - $149,999",No,No,No,Private,10+,My school did not offer,My school did not offer,My school did not offer,"Athletics, Music",No,,EDI,4,Withdrawed all other applications ,Vanderbilt was my first choice,"Yes, and I submitted it",No,1530,,No,"Academics, School size, Campus",None,School of Engineering,No,Chemical Engineering,No,Murray,Hank Ingram,No,No,$0 ,"Not sure, No",5,1,2,7,5,3,1,7,7,5,I am not eligible to vote,I am not eligible to vote,4-6 hours,"TikTok, Youtube, Other social media",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Georgia,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Christian,"Under $50,000",No,No,No,Public,9,My school did not offer,6,1,"Athletics, Journalism, Student Government","Yes, in high school but not in college",Writing,EDI,4,"University of Georgia, University of Alabama",Vanderbilt was my first choice,"Yes, but I did not submit it","Yes, and I submitted it",1260,31,No,"Cost, Location, Campus",Campus tour,College of Arts of Science,No,Psychology,No,Crawford,Hank Ingram,"Yes, full cost of attendence",No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",4,1,1,5,7,5,4,7,5,1,"Yes, in my home state/country",I intend to vote for Donald Trump,4-6 hours,"Instagram, TikTok",Twice a week,Twice a week,Never,Never,None,Yes,Georgia
New Jersey,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$1,000,000 or more",No,No,No,Public,7,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Journalism, Student Government, Paid work",No,,EDII,15,"Rutgers, Northeastern",Vanderbilt was not my first choice but was one of my top choices,"Yes, but I did not submit it",No,1470,,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Location, Academics, School size","Campus tour, Anchor Day (admitted students day)",School of Engineering,No,Engineering Science,No,Stambaugh,Hank Ingram,No,No,$0 ,Not sure,3,2,3,6,7,4,4,4,6,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Television, Instagram",Never,Once a month,Never,Never,None,Yes,N/A (I have never owned a fake ID)
Florida,,No,White/Caucasian,No,Bisexual/pansexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$50,000 - $74,999",No,No,No,Public,8,My school did not offer,10+,0,"Academic Clubs/Competition, Community Service, Dance, Career-oriented internship, Music, Theater",No,,Regular Decision off the waitlist,15,,Vanderbilt was my first choice,"Yes, and I submitted it","Yes, and I submitted it",1480,32,No,"Cost, Academics, Student Life","Campus tour, Commodore Launch",School of Engineering,No,Mechanical Engineering,No,North,North,"Yes, full cost of attendence",No,$0 ,No,1,4,1,7,7,4,4,4,7,1,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Podcasts, Television, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Iowa,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,Hindu,"$500,000 - $749,999",No,No,No,Public,7,My school did not offer,7,3,"Academic Clubs/Competition, Athletics, Community Service, Music, Research, Speech and Debate, Student Government","Yes, in high school but not in college",Research,Regular Decision off the waitlist,20,"Emory, UF, Case Western, Carleton, Iowa, Rutgers, UMKC, URochester, Hofstra, VCU, UPitt, ",Vanderbilt was not my first choice but was one of my top choices,No,"Yes, and I submitted it",,34,"Yes, college counseling","Location, Academics, Campus",None,College of Arts of Science,No,"Medicine, Health, and Society (MHS)","Yes, as a pre-med student",East,Hank Ingram,No,No,$0 ,Not sure,4,1,1,7,7,4,4,4,7,1,"I am eligible to vote, but am not registered",I intend to vote for Kamala Harris,1-2 hours,"Instagram, Other social media",Once a semester,Once a semester,Never,Never,None,Prefer not to answer,N/A (I have never owned a fake ID)
Oklahoma,,Yes,Asian/Pacific Islander,No,Heterosexual,Woman,No,Yes,n/a,"$50,000 - $74,999",No,No,No,Public,7,My school did not offer,4,1,"Academic Clubs/Competition, Athletics, Community Service, Music, Student Government","Yes, in both high school and college","Coding, check answers",EDI,15,,Vanderbilt was not my first choice nor was it among my top choices,No,"Yes, but I did not submit it",,,No,"Cost, Academics, Student Life",None,School of Engineering,No,Chemical Engineering,No,Hank Ingram,Hank Ingram,"Yes, full cost of attendence",No,$0 ,Not sure,4,2,2,4,5,6,3,7,6,2,I am registered to vote but do not vote,Prefer not to answer,2-4 hours,"News websites/apps, Instagram, Facebook, TikTok",Once a semester,Once a week,Never,Never,None,No,N/A (I have never owned a fake ID)
Louisiana,,No,White/Caucasian,No,Heterosexual,Man,No,Yes,"None (Atheist, Agnostic, etc.)","$50,000 - $74,999",No,No,No,Public,2,My school did not offer,10+,5,"Athletics, Career-oriented internship, Journalism, Research, Paid work, Robotics (FRC)","Yes, in both high school and college","Writing, Coding",EDI,10,"Louisiana State University, University of Alabama",Vanderbilt was not my first choice but was one of my top choices,No,"Yes, and I submitted it",,32,No,"Cost, Academics, Campus",None,College of Arts of Science,No,Earth and Environmental Sciences,No,Gillette,Hank Ingram,"Yes, full cost of attendence",No,$0 ,No,5,3,1,6,4,7,5,3,5,4,"I am eligible to vote, but am not registered",I do not intend to vote,2-4 hours,"News websites/apps, Instagram, Youtube, Other social media",Once a semester,Never,Once a month,Never,Psilocybin (Shrooms),Yes,N/A (I have never owned a fake ID)
Tennessee,,Yes,"White/Caucasian, Asian/Pacific Islander",No,Heterosexual,Woman,No,No,Christian,"Under $50,000","Yes, one parent",No,No,Private,5,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Music, Religious group, Student Government, Paid work",No,,EDI,4,"UTK, Tennessee Tech, Auburn",Vanderbilt was my first choice,No,"Yes, but I did not submit it",,32,No,"Cost, School size, Student Life","Campus tour, 'Dore For A Day",Peabody College of Education and Human Development,No,Human and Organizational Development (HOD),"Yes, as a pre-law student",North,North,"Yes, more than half the cost of attendance",No,$0 ,Not sure,6,1,4,5,1,4,4,1,3,2,"Yes, in Tennessee",I intend to vote for Donald Trump,2-4 hours,"Podcasts, Instagram",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Georgia,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,Christian,"$150,000 - $199,999",No,No,No,Public,10+,My school did not offer,10+,0,"Academic Clubs/Competition, Community Service, Career-oriented internship, Music, Religious group, Research, Student Government",No,,Regular Decision,8,"University of Georgia, Kennesaw State, Mercer University, Augusta University, University of Alabama at Birmingham",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,1530,,"Yes, standardized testing (ACT/SAT) tutoring","Academics, Post-grad opportunities, Campus",Anchor Day (admitted students day),College of Arts of Science,No,Biological Sciences,"Yes, as a pre-med student",Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,"$50,000 - $74,999",Not sure,6,4,2,5,1,4,4,6,5,3,"Yes, in my home state/country",I intend to vote for Donald Trump,2-4 hours,"News websites/apps, Instagram",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Mississippi,,No,"White/Caucasian, Middle Eastern/North African",No,Heterosexual,Woman,No,No,Christian,"Under $50,000",No,No,No,Public,1,My school did not offer,7,6,"Academic Clubs/Competition, Athletics, Community Service, Dance, Religious group, Paid work",No,,EDII,11,"NYU, Fordham, UNC, UMD, Penn State, etc.",Vanderbilt was my first choice,No,"Yes, but I did not submit it",,27,No,"Cost, Academics, Post-grad opportunities","Campus tour, Commodore Launch, Anchor Day (admitted students day)",College of Arts of Science,No,Biological Sciences,"Yes, as a pre-med student",Gillette,Gillette,"Yes, full cost of attendence",No,$0 ,Not sure,4,1,1,7,1,4,4,1,7,4,"Yes, in my home state/country",Prefer not to answer,4-6 hours,"Instagram, TikTok, X (formerly Twitter)",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Florida,,No,White/Caucasian,Yes,Heterosexual,Woman,No,No,Christian,"$150,000 - $199,999",No,No,No,Private,10+,My school did not offer,10+,1,"Community Service, Music, Religious group, Theater","Yes, in high school but not in college","Writing, Research",Regular Decision,5,"University of Florida, University of Miami, Florida State University, Florida International University",Vanderbilt was my first choice,"Yes, but I did not submit it","Yes, and I submitted it",1380,35,No,"Cost, Location, Campus","Campus tour, Commodore Launch",Peabody College of Education and Human Development,No,Child Development,No,North,North,"Yes, less than half the cost of attendance","Yes, covers full tuition","$30,000 - $39,999",Not sure,4,2,1,6,2,4,4,2,5,2,"Yes, in my home state/country",I intend to vote for Donald Trump,4-6 hours,"News websites/apps, Instagram, TikTok",Once a month,Never,Never,Never,None,No,Prefer not to answer
Colorado,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,Yes,Buddhist,"Under $50,000",No,No,No,Public,My school did not offer,9,My school did not offer,10+,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs",No,,Regular Decision,32,,I did not have a ranking of the schools I applied to,"Yes, and I submitted it",No,,,No,"Cost, Academics, Student Life",None,College of Arts of Science,No,Biological Sciences,"Yes, as a pre-med student",Murray,Hank Ingram,"Yes, full cost of attendence",No,$0 ,No,5,1,1,7,7,4,4,7,4,1,"I am eligible to vote, but am not registered",I do not intend to vote,6-9 hours,"Instagram, TikTok, X (formerly Twitter), Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Tennessee,,No,White/Caucasian,No,Heterosexual,Man,No,Yes,Christian,"$100,000 - $149,999",No,No,No,Public,My school did not offer,My school did not offer,My school did not offer,4,"Academic Clubs/Competition, Athletics, Community Service, Student Government, Paid work","Yes, in high school but not in college","Writing, Math",EDII,2,Tennessee Tech University ,Vanderbilt was my first choice,No,"Yes, but I did not submit it",,27,No,"Cost, Location, Academics","Campus tour, 'Dore For A Day, Commodore Launch",School of Engineering,No,Mechanical Engineering,No,West,Sutherland,"Yes, more than half the cost of attendance",No,$0 ,Not sure,6,1,5,6,1,1,4,1,1,3,"Yes, in Tennessee",I intend to vote for Donald Trump,4-6 hours,"News websites/apps, TikTok, X (formerly Twitter)",Never,Never,Never,Never,None,Yes,N/A (I have never owned a fake ID)
Tennessee,,No,White/Caucasian,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$150,000 - $199,999","Yes, one parent",No,No,Public,7,My school did not offer,10+,1,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Music, Model UN, Speech and Debate","Yes, in both high school and college","Writing, Research, Math",EDI,4,"Rodes College, UTK, TN Tech",Vanderbilt was my first choice,No,"Yes, and I submitted it",,35,No,"Cost, Academics, School size",Campus tour,School of Engineering,No,Electrical and Computer Engineering,No,West,West,"Yes, more than half the cost of attendance",No,$0 ,No,2,6,3,2,7,7,4,7,7,6,"Yes, in Tennessee",I intend to vote for Kamala Harris,1-2 hours,News websites/apps,Never,Never,Never,Never,None,Yes,N/A (I have never owned a fake ID)
North Carolina,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,Christian,"$100,000 - $149,999",No,No,No,Public,6,My school did not offer,7,10+,"Academic Clubs/Competition, Athletics, Community Service, Music, Research, Student Government, Paid work","Yes, in both high school and college","Research, Coding",Regular Decision,12,"University of Toronto, UNC-Chapel Hill, NC State, Davidson, Wake Forest, Duke, Harvard, Cornell, Yale, Universiyn of Michigan Ann Arbor, Guilford College",Vanderbilt was my first choice,"Yes, and I submitted it","Yes, but I did not submit it",1500,32,No,"Cost, Academics, Student Life",Anchor Day (admitted students day),Blair School of Music,"Yes, Peabody",Cognitive Studies,No,Murray,Hank Ingram,"Yes, more than half the cost of attendance","Yes, covers partial tuition",$0 ,Not sure,2,5,1,4,6,6,4,5,6,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Podcasts, Instagram, TikTok, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Massachusetts,,No,Asian/Pacific Islander,No,Bisexual/pansexual,Man,No,No,Buddhist,"$300,000 - $499,999",No,No,No,Public,10+,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Cultural and Affinity Clubs, Career-oriented internship, Research, Speech and Debate, Paid work",No,,EDII,26,"University of North Carolina - Chapel Hill, University of California - Davis, University of California - San Diego, University of California - Irvine, University of California - Santa Barbara, University of Massachusetts - Amherst",Vanderbilt was not my first choice but was one of my top choices,No,"Yes, and I submitted it",,35,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Post-grad opportunities, Brand name/rankings, Student Life","Campus tour, 'Dore For A Day",College of Arts of Science,No,Asian American and Asian Diaspora Studies,"Yes, as a pre-med student",North,North,No,No,$0 ,No,1,7,1,5,7,5,5,7,7,5,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Instagram, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
None of the Above,South Korea,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$100,000 - $149,999",No,No,No,Public,0,7,0,0,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Music, Research","Yes, in high school but not in college","Writing, Math",Regular Decision off the waitlist,11,"UCD, UCSB, UCSD, UIUC, UConn, OSU",Vanderbilt was not my first choice but was one of my top choices,No,No,,,No,"School size, Brand name/rankings, Student Life",None,College of Arts of Science,"Yes, A&S","Medicine, Health, and Society (MHS)","Yes, as a pre-med student",Murray,Murray,No,No,I don't know,Not sure,4,2,3,6,6,4,2,6,7,3,I am not eligible to vote,I am not eligible to vote,4-6 hours,"Instagram, Youtube, Other social media",Once a semester,Never,Never,Never,None,Prefer not to answer,N/A (I have never owned a fake ID)
Tennessee,,No,African American/Black,No,Gay/lesbian,Man,No,No,Christian,"$150,000 - $199,999",No,No,No,Public,8,My school did not offer,10+,My school did not offer,"Athletics, Community Service, Cultural and Affinity Clubs, Career-oriented internship, Theater, Mock Trial","Yes, in both high school and college","Research, Math",Regular Decision,13,"Ohio State University, Howard, UTK, UK, UTC, WKU, Louisville, American, USC, Clark Atlanta,",I did not have a ranking of the schools I applied to,No,"Yes, but I did not submit it",,28,"Yes, standardized testing (ACT/SAT) tutoring","Cost, Academics, School size","Campus tour, 'Dore For A Day, Commodore Launch, Anchor Day (admitted students day)",College of Arts of Science,No,Public Policy Studies,No,North,North,No,"Yes, covers full tuition","$50,000 - $74,999","Yes, I plan to participate in NPHC recruitment, Not sure",2,6,1,3,7,7,4,7,7,2,"Yes, in Tennessee",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Television, TikTok",Never,Once a semester,Never,Never,None,No,N/A (I have never owned a fake ID)
Ohio,,No,White/Caucasian,No,Bisexual/pansexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$150,000 - $199,999",No,No,No,Private,9,My school did not offer,3,My school did not offer,"Academic Clubs/Competition, Community Service, Music","Yes, in both high school and college","Writing, Research",Regular Decision,8,"Ohio State, Virginia Tech, Alabama, Purdue",Vanderbilt was my first choice,No,"Yes, and I submitted it",,35,No,"Cost, Academics, Campus",Campus tour,College of Arts of Science,No,Mathematics,No,East,Stambaugh,"Yes, more than half the cost of attendance",No,$0 ,No,2,1,2,6,6,5,2,5,6,6,"Yes, in my home state/country",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Instagram, Youtube",Once a month,Once a month,Never,Never,None,No,N/A (I have never owned a fake ID)
